Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Gumrah,1993,"Action, Crime, Drama            ","Roshni Chadha is the only child of Sharda Chhadha, and has no knowledge of the whereabouts of her absconding dad, Prakash Chhadha. Roshni is introduced to Rahul Malhotra and both are ...                See full summary »",6.2,737,28,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy","['roshni', 'chadha', 'child', 'sharda', 'chhadha,', 'knowledge', 'whereabouts', 'absconding', 'dad,', 'prakash', 'chhadha.', 'roshni', 'introduced', 'rahul', 'malhotra', '...', 'see', 'full', 'summary', '»']"
Shukranu,2020,Drama            ,"Set in Delhi/UP/Haryana, SHUKRANU is a comic take on the darkest phases of Indian democracy through the encounters of a would-be groom who is forcefully sterilized just days before his much-awaited marriage.",6.4,735,1,Bishnu Dev Halder,"Divyendu Sharma, Shweta Basu Prasad, Sheetal Thakur, Aakash Dabhade","['set', 'delhi/up/haryana,', 'shukranu', 'comic', 'take', 'darkest', 'phases', 'indian', 'democracy', 'encounters', 'would-be', 'groom', 'forcefully', 'sterilized', 'days', 'much-awaited', 'marriage.']"
One by Two,2014,"Comedy, Drama, Romance            ",Aspiring musician Amit and dance fanatic Samara get a better insight of what life has in store for them.,4.2,734,7,vika Bhagat,"Abhay Deol, Preeti Desai, Lillete Dubey, Rati Agnihotri","['aspiring', 'musician', 'amit', 'dance', 'fanatic', 'samara', 'get', 'better', 'insight', 'life', 'store', 'them.']"
Roar,2014,"Action, Adventure, Sci-Fi            ","After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.",5.6,731,7,Kamal Sadanah,"Aadil Chahal, Ahran Chaudhary, Pranay Dixit, Subrat Dutta","['photojournalist', 'brother', 'gets', 'killed', 'white', 'tigress', 'jungles', 'sundarbans,', 'pandit', 'team', 'commandos', 'enter', 'prohibited', 'core', 'area', 'forest', 'avenge', 'death.']"
Ugly Aur Pagli,2008,"Comedy, Drama            ",An Engineering student's life changes drastically after the entry of an alcoholic and spunky woman.,3.7,728,13,Sachin Kamlakar Khot,"Mallika Sherawat, Ranvir Shorey, Bharti Achrekar, Zeenat Aman","['engineering', ""student's"", 'life', 'changes', 'drastically', 'entry', 'alcoholic', 'spunky', 'woman.']"
Chandra Mukhi,1993,"Comedy, Fantasy, Romance            ","Chandra Mukhi (Sridevi), a princess of a heavenly kingdom reaches earth in search of her lost magical leaf. She meets Raja Rai (Salman Khan), and how she influences his life forms the climax.",3.9,728,28,baloy Dey,"Maya Alagh, Tinnu Anand, Mohnish Bahl, Avtar Gill","['chandra', 'mukhi', '(sridevi),', 'princess', 'heavenly', 'kingdom', 'reaches', 'earth', 'search', 'lost', 'magical', 'leaf.', 'meets', 'raja', 'rai', '(salman', 'khan),', 'influences', 'life', 'forms', 'climax.']"
Superstar,2008,"Drama, Romance            ","Kunal Mehra lives a middle-classed lifestyle in Borivali, Mumbai, along with his disapproving dad, Purabi, and supportive mom, Kusum. He has a sweetheart in Mausam, an aspiring Journalist. ...                See full summary »",6.0,725,13,Rohit Jugraj,"Kunal Khemu, Tulip Joshi, Aushima Sawhney, Apurva Dhar Badgaiyann","['kunal', 'mehra', 'lives', 'middle-classed', 'lifestyle', 'borivali,', 'mumbai,', 'along', 'disapproving', 'dad,', 'purabi,', 'supportive', 'mom,', 'kusum.', 'sweetheart', 'mausam,', 'aspiring', 'journalist.', '...', 'see', 'full', 'summary', '»']"
Daag: The Fire,1999,"Action, Drama, Thriller            ","Karan, a former soldier tries to extract revenge from a corrupted lawyer. In the process, the lawyer loses his mental balance and Karan needs to treat him to get him killed.",4.8,720,22,Raj Kanwar,"Sanjay Dutt, Chandrachur Singh, Mahima Chaudhry, Shakti Kapoor","['karan,', 'former', 'soldier', 'tries', 'extract', 'revenge', 'corrupted', 'lawyer.', 'process,', 'lawyer', 'loses', 'mental', 'balance', 'karan', 'needs', 'treat', 'get', 'killed.']"
Main Azaad Hoon,1989,Drama            ,A newspaper reporter exploits an ordinary man for few rupees to pose as a man who is fighting against the corrupt politicians and prints imaginary stories in his name to improve the ...                See full summary »,7.2,720,32,Tinnu Anand,"Amitabh Bachchan, Shabana Azmi, B.M. Shah, Annu Kapoor","['newspaper', 'reporter', 'exploits', 'ordinary', 'man', 'rupees', 'pose', 'man', 'fighting', 'corrupt', 'politicians', 'prints', 'imaginary', 'stories', 'name', 'improve', '...', 'see', 'full', 'summary', '»']"
Yakeen,2005,"Drama, Thriller            ","Left with amnesia after a car accident, a man (Arjun Rampal) believes his wife (Priyanka Chopra) is having an affair.",5.1,719,16,Girish Dhamija,"Arjun Rampal, Priyanka Chopra Jonas, Kim Sharma, Sudhanshu Pandey","['left', 'amnesia', 'car', 'accident,', 'man', '(arjun', 'rampal)', 'believes', 'wife', '(priyanka', 'chopra)', 'affair.']"
Elaan,2005,"Action, Thriller            ","Kantilal Shah a Mumbai based businessman is killed by underworld Don Baba Sikander after he fails to pay him the extortion money,Karan adopted son of Kantilal Shah had advised him not to do...                See full summary »",4.4,719,16,Vikram Bhatt,"Arjun Rampal, Ameesha Patel, John Abraham, Lara Dutta","['kantilal', 'shah', 'mumbai', 'based', 'businessman', 'killed', 'underworld', 'baba', 'sikander', 'fails', 'pay', 'extortion', 'money,karan', 'adopted', 'son', 'kantilal', 'shah', 'advised', 'do...', 'see', 'full', 'summary', '»']"
Silsiilay,2005,Drama            ,A group of women find solidarity with each other as they negotiate their complicated love-lives.,4.0,717,16,Khalid Mohamed,"Tabu, Bhoomika Chawla, Riya Sen, Celina Jaitly","['group', 'women', 'find', 'solidarity', 'negotiate', 'complicated', 'love-lives.']"
Thanks Maa,2009,"Crime, Drama            ",A homeless petty thief attempts to find the biological mother of an abandoned baby.,7.9,716,12,Irfan Kamal,"Master Shams, Master Salman, Master Jaffer, Master Fayaaz","['homeless', 'petty', 'thief', 'attempts', 'find', 'biological', 'mother', 'abandoned', 'baby.']"
Yeh Raaste Hain Pyaar Ke,2001,"Action, Drama, Romance            ","Two con artistes and car thieves, Vicky (Ajay Devgan) and Sakshi (Preity Zintar) run afoul of Bhanwarlal (Deep Dhillon) and his mob, when they accidentally kill his brother. Bhanwarlal and ...                See full summary »",4.1,716,20,pak S. Shivdasani,"Ajay Devgn, Madhuri Dixit, Preity Zinta, Vikram Gokhale","['two', 'con', 'artistes', 'car', 'thieves,', 'vicky', '(ajay', 'devgan)', 'sakshi', '(preity', 'zintar)', 'run', 'afoul', 'bhanwarlal', '(deep', 'dhillon)', 'mob,', 'accidentally', 'kill', 'brother.', 'bhanwarlal', '...', 'see', 'full', 'summary', '»']"
Maine Gandhi Ko Nahin Mara,2005,Drama            ,"Widowed Uttam Chaudhary lives a comfortable lifestyle with his college-going son, Karan, a daughter, Trisha, who is in love with a South-Indian youth named Ashish Reddy, and an elder son ...                See full summary »",7.3,714,16,Jahnu Barua,"Anupam Kher, Urmila Matondkar, Parvin Dabas, Rajit Kapoor","['widowed', 'uttam', 'chaudhary', 'lives', 'comfortable', 'lifestyle', 'college-going', 'son,', 'karan,', 'daughter,', 'trisha,', 'love', 'south-indian', 'youth', 'named', 'ashish', 'reddy,', 'elder', 'son', '...', 'see', 'full', 'summary', '»']"
Satyakam,1969,Drama            ,The tale begins in the final days of the British Raj in India. A cohort of engineering students graduate a few months before Independence. Satyapriya and Naren are among the graduate ...                See full summary »,8.2,712,52,Hrishikesh Mukherjee,"Ashok Kumar, Dharmendra, Sharmila Tagore, Rabi Ghosh","['tale', 'begins', 'final', 'days', 'british', 'raj', 'india.', 'cohort', 'engineering', 'students', 'graduate', 'months', 'independence.', 'satyapriya', 'naren', 'among', 'graduate', '...', 'see', 'full', 'summary', '»']"
Agni Sakshi,1996,"Drama, Musical, Romance            ",Newly married Suraj and Shivangi are on honeymoon where they meet Vishwanath - who claims that Shivangi is his wife.,6.1,712,25,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala, Divya Dutta","['newly', 'married', 'suraj', 'shivangi', 'honeymoon', 'meet', 'vishwanath', '-', 'claims', 'shivangi', 'wife.']"
Siddharth,2013,Drama            ,"A chain-wallah from Delhi travels across India in search of his missing son, in the hopes that whoever took him, returns him unharmed.",7.3,710,8,Richie Mehta,"Rajesh Tailang, Tannishtha Chatterjee, Anurag Arora, Shobha Sharma Jassi","['chain-wallah', 'delhi', 'travels', 'across', 'india', 'search', 'missing', 'son,', 'hopes', 'whoever', 'took', 'him,', 'returns', 'unharmed.']"
Not a Love Story,2011,"Crime, Drama, Thriller            ",An aspiring movie actress and her boyfriend are arrested and charged with Homicide.,5.0,710,10,Ram Gopal Varma,"Deepak Dobriyal, Mahie Gill, Zakir Hussain, Darshan Jariwala","['aspiring', 'movie', 'actress', 'boyfriend', 'arrested', 'charged', 'homicide.']"
Meri Biwi Ka Jawab Nahin,2004,"Action, Comedy, Romance            ",Ajay gets married to his childhood friend Durga; who is illiterate unable to differentiate between the style of these days and that of long time ago. When Ajay is given the post as police ...                See full summary »,3.9,709,17,"s:Pankaj Parashar, S.M. Iqbal","Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde","['ajay', 'gets', 'married', 'childhood', 'friend', 'durga;', 'illiterate', 'unable', 'differentiate', 'style', 'days', 'long', 'time', 'ago.', 'ajay', 'given', 'post', 'police', '...', 'see', 'full', 'summary', '»']"
Chalk N Duster,2016,Drama            ,"CHALK N DUSTER is an emotional journey of two teachers Vidya ( Shabana Azmi) & Jyoti ( Juhi Chawla) , serving at a Mumbai - based High School. Their passion and love for teaching, bonds ...                See full summary »",6.5,706,5,Jayant Gilatar,"Richa Chadha, Shabana Azmi, Arya Babbar, Gavie Chahal","['chalk', 'n', 'duster', 'emotional', 'journey', 'two', 'teachers', 'vidya', '(', 'shabana', 'azmi)', '&', 'jyoti', '(', 'juhi', 'chawla)', ',', 'serving', 'mumbai', '-', 'based', 'high', 'school.', 'passion', 'love', 'teaching,', 'bonds', '...', 'see', 'full', 'summary', '»']"
Pitaah,2002,"Action, Drama            ",Thakur Avadh Narayan Singh rules Shekhapur village.Due to his fear villagers don't dare to go against him for his wrong doings.His son Bhola and Bacchu are also to follow his part who spend...                See full summary »,6.3,705,19,Mahesh Manjrekar,"Sanjay Dutt, Nandita Das, Sachin Khedekar, Tanvi Hegde","['thakur', 'avadh', 'narayan', 'singh', 'rules', 'shekhapur', 'village.due', 'fear', 'villagers', 'dare', 'go', 'wrong', 'doings.his', 'son', 'bhola', 'bacchu', 'also', 'follow', 'part', 'spend...', 'see', 'full', 'summary', '»']"
Yun Hota Toh Kya Hota,2006,Drama            ,"The Visa papers have arrived for stock broker, Salim Rajabali, and he is scheduled to leave in less than a week. Then everything goes wrong when he and his brother, Javed, inadvertently ...                See full summary »",6.5,704,15,Naseeruddin Shah,"Paresh Rawal, Irrfan Khan, Jimmy Sheirgill, Konkona Sen Sharma","['visa', 'papers', 'arrived', 'stock', 'broker,', 'salim', 'rajabali,', 'scheduled', 'leave', 'less', 'week.', 'everything', 'goes', 'wrong', 'brother,', 'javed,', 'inadvertently', '...', 'see', 'full', 'summary', '»']"
Lekar Hum Deewana Dil,2014,"Comedy, Romance            ","Dino and Karishma get married in Goa and head to the lesser-known parts of the country, afraid of being caught by their parents. However, they start facing many challenges in their marital life.",5.0,701,7,Arif Ali,"Armaan Jain, Deeksha Seth, Varun Badola, Nishikant Dixit","['dino', 'karishma', 'get', 'married', 'goa', 'head', 'lesser-known', 'parts', 'country,', 'afraid', 'caught', 'parents.', 'however,', 'start', 'facing', 'many', 'challenges', 'marital', 'life.']"
Guddu Ki Gun,2015,Comedy            ,"Guddu, a salesman, lands in dire trouble when his girlfriend's grandfather casts a spell on him for cheating on her. However, he must find true love to get rid of the curse.",4.7,700,6,"s:Sheershak Anand, Shantanu Ray Chhibber","Kunal Khemu, Payel Sarkar, Aparna Sharma, Sumeet Vyas","['guddu,', 'salesman,', 'lands', 'dire', 'trouble', ""girlfriend's"", 'grandfather', 'casts', 'spell', 'cheating', 'her.', 'however,', 'must', 'find', 'true', 'love', 'get', 'rid', 'curse.']"
Fraud Saiyyan,2019,"Comedy, Drama            ",Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,4.3,699,2,Sourabh Shrivastava,"Arshad Warsi, Saurabh Shukla, Flora Saini, Sara Loren","['fraud', 'saiyyan', 'story', 'con', 'artist', 'north', 'india', 'convinces', 'women', 'marry', 'live', 'money.']"
Acid Factory,2009,"Action, Crime, Mystery            ",Five people trapped in a factory where two hostages and three are kidnappers but they them self do not know who are kidnappers and hostages.As they all are suffering from temporary memory loss.,5.0,699,12,Suparn Varma,"Fardeen Khan, Dia Mirza, Manoj Bajpayee, Aftab Shivdasani","['five', 'people', 'trapped', 'factory', 'two', 'hostages', 'three', 'kidnappers', 'self', 'know', 'kidnappers', 'hostages.as', 'suffering', 'temporary', 'memory', 'loss.']"
Koi Jaane Na,2021,Thriller            ,A heartbroken writer struggling with writer's block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.,3.7,695,0,Amin Hajee,"Kunal Kapoor, Amyra Dastur, Elli Avrram, Aamir Khan","['heartbroken', 'writer', 'struggling', ""writer's"", 'block', 'goes', 'quiet', 'hill', 'station', 'finds', 'love', 'uncovers', 'copycat', 'serial', 'killer', 'mysteriously', 'come', 'alive', 'killing', 'everyone', 'around', 'him.']"
Badhaai Ho Badhaai,2002,"Comedy, Drama, Musical            ","The D'Souza and Chaddha families are neighbors and have been good friends for as long as they can remember; despite their diverse religious and cultural beliefs, they celebrate Diwali and ...                See full summary »",4.5,695,19,Satish Kaushik,"Anil Kapoor, Rana Jung Bahadur, Anang Desai, Rohini Hattangadi","[""d'souza"", 'chaddha', 'families', 'neighbors', 'good', 'friends', 'long', 'remember;', 'despite', 'diverse', 'religious', 'cultural', 'beliefs,', 'celebrate', 'diwali', '...', 'see', 'full', 'summary', '»']"
Majboor,1974,"Drama, Mystery, Thriller            ","A terminally ill man frames himself for murder to allow his family to collect the reward money. After a successful operation, he escapes police custody and searches for the real killer.",7.1,695,47,Ravi Tandon,"Amitabh Bachchan, Parveen Babi, Pran, Farida Jalal","['terminally', 'ill', 'man', 'frames', 'murder', 'allow', 'family', 'collect', 'reward', 'money.', 'successful', 'operation,', 'escapes', 'police', 'custody', 'searches', 'real', 'killer.']"
Mashaal,1984,"Action, Drama, Family            ",A chain of events changes Vinod's life - from honest journalist to black marketer to an underworld Don and a Racketeer in order to combat Vardhan.,7.3,694,37,Yash Chopra,"Anil Kapoor, Dilip Kumar, Waheeda Rehman, Rati Agnihotri","['chain', 'events', 'changes', ""vinod's"", 'life', '-', 'honest', 'journalist', 'black', 'marketer', 'underworld', 'racketeer', 'order', 'combat', 'vardhan.']"
Bhindi Baazaar,2011,"Crime, Drama, Thriller            ",Power struggles ensue in a gang after the sudden death of their leader.,6.1,693,10,Ankush Bhatt,"Kay Kay Menon, Prashant Narayanan, Pawan Malhotra, Adil Feroz Khan","['power', 'struggles', 'ensue', 'gang', 'sudden', 'death', 'leader.']"
Rajnigandha,1974,"Drama, Romance            ",A Delhi-based woman in a steady relationship with her boyfriend is forced to come to terms with her true feelings when a job interview in Mumbai brings an old flame back in her life.,7.3,693,47,Basu Chatterjee,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Ranjita Thakur","['delhi-based', 'woman', 'steady', 'relationship', 'boyfriend', 'forced', 'come', 'terms', 'true', 'feelings', 'job', 'interview', 'mumbai', 'brings', 'old', 'flame', 'back', 'life.']"
Henna,1991,"Drama, Romance, Musical            ",Orphan Chander Prakash is employed as a menial laborer in a timber mart; he meets with wealthy Chandni only to fall in love with her and the marriage is arranged with the blessings of ...                See full summary »,6.4,692,30,Randhir Kapoor,"Rishi Kapoor, Zeba Bakhtiar, Ashwini Bhave, Saeed Jaffrey","['orphan', 'chander', 'prakash', 'employed', 'menial', 'laborer', 'timber', 'mart;', 'meets', 'wealthy', 'chandni', 'fall', 'love', 'marriage', 'arranged', 'blessings', '...', 'see', 'full', 'summary', '»']"
Andhaa Kaanoon,1983,"Action, Drama            ",Two siblings attempt to avenge the death of their parents. But the sister believes in the law while the brother believes in administering justice himself.,6.1,691,38,Rama Rao Tatineni,"Rajinikanth, Hema Malini, Reena Roy, Amitabh Bachchan","['two', 'siblings', 'attempt', 'avenge', 'death', 'parents.', 'sister', 'believes', 'law', 'brother', 'believes', 'administering', 'justice', 'himself.']"
Sayonee,2020,"Action, Musical, Romance            ","When the fiance of national shooting gold medalist Rajdeep Randhava goes missing in Russia, he must put his life at stake and take on conjuring gypsies, corrupt indo-eruo cops, pythoned ...                See full summary »",7.5,689,1,"s:Nitin Gupta, Abhay Singhal","Tanmay Ssingh, Musskan Sethi, Yograj Singh, Upasna Singh","['fiance', 'national', 'shooting', 'gold', 'medalist', 'rajdeep', 'randhava', 'goes', 'missing', 'russia,', 'must', 'put', 'life', 'stake', 'take', 'conjuring', 'gypsies,', 'corrupt', 'indo-eruo', 'cops,', 'pythoned', '...', 'see', 'full', 'summary', '»']"
